Date 						| Blue Shrooms 	| Blue Bets | Red Shrooms 	| Red Bets 	| My Balance	| My Shrooms| My Team 	| Winner
--------------------------------------------------------------------------------------------------------------------------------------
2019-05-17 12:29:01.114409	| 28616  		| 17 		| 65631  		| 15 		| 215179 		| 2005     	| blue 		| blue
2019-05-17 12:59:53.000325	| 45033  		| 17 		| 22721  		| 12 		| 215179 		| 2001     	| red 		| blue
2019-05-17 13:26:17.138256	| 39550  		| 16 		| 25783  		| 16 		| 215179 		| 2004     	| blue 		| blue
2019-05-17 13:57:19.680111	| 44601  		| 15 		| 39654  		| 13 		| 215457 		| 2005     	| red 		| blue
2019-05-17 14:28:31.214315	| 62257  		| 22 		| 30202  		| 17 		| 215457 		| 2003     	| red 		| blue
2019-05-17 15:40:02.953380	| 36859  		| 20 		| 34094  		| 11 		| 215457 		| 2007     	| red 		| blue
2019-05-17 16:11:05.915490	| 26174  		| 17 		| 93237  		| 31 		| 215457 		| 2002     	| blue 		| red
2019-05-17 16:36:15.061904	| 41473  		| 26 		| 8844  		| 6 		| 215457 		| 2000     	| red 		| blue
2019-05-17 16:57:04.362190	| 11477  		| 8 		| 26850  		| 19 		| 205806 		| 2006     	| blue 		| red
2019-05-17 17:20:09.395125	| 74965  		| 28 		| 17872  		| 16 		| 203800 		| 2007     	| red 		| blue
2019-05-17 17:53:09.902154	| 10277  		| 9 		| 144894  		| 22 		| 201915 		| 2002     	| blue 		| blue
2019-05-17 18:32:34.349437	| 52303  		| 16 		| 47619  		| 17 		| 229083 		| 10000     | red 		| red
2019-05-17 18:57:29.436447	| 58311  		| 22 		| 38618  		| 21 		| 240100 		| 2005     	| red 		| red
2019-05-18 05:33:53.865444	| 86925  		| 13 		| 46706  		| 13 		| 254308 		| 2001     	| red 		| red
2019-05-18 06:09:18.186643	| 20926  		| 8 		| 31654  		| 19 		| 257832 		| 2001     	| blue 		| red
2019-05-18 06:37:21.619819	| 24854  		| 8 		| 49507  		| 18 		| 257832 		| 2005     	| blue 		| blue
2019-05-18 06:59:59.619619	| 44555  		| 17 		| 49079  		| 18 		| 260107 		| 2000     	| blue 		| red
2019-05-18 07:21:05.603177	| 11986  		| 7 		| 48777  		| 17 		| 258107 		| 2009     	| blue 		| red
2019-05-18 07:39:28.873277	| 37520  		| 14 		| 31516  		| 15 		| 256098 		| 2000     	| red 		| red
2019-05-18 08:07:58.244777	| 11751  		| 15 		| 9370  		| 13 		| 256098 		| 2000     	| red 		| blue
2019-05-18 08:54:54.804498	| 31169  		| 21 		| 48899  		| 20 		| 256680 		| 2004     	| blue 		| blue
2019-05-18 09:19:57.320969	| 15230  		| 17 		| 38085  		| 26 		| 259848 		| 2001     	| blue 		| red
2019-05-18 09:51:47.889696	| 27220  		| 28 		| 17421  		| 12 		| 257847 		| 2003     	| red 		| red
2019-05-18 10:34:15.647799	| 22672  		| 19 		| 23740  		| 19 		| 257847 		| 2009     	| blue 		| red
2019-05-18 11:03:07.731131	| 56497  		| 29 		| 29008  		| 13 		| 258851 		| 2006     	| red 		| blue
2019-05-18 11:39:20.808096	| 48684  		| 25 		| 27287  		| 15 		| 258851 		| 2007     	| red 		| red
2019-05-18 13:15:09.853889	| 16655  		| 19 		| 108244  		| 27 		| 256218 		| 12121     | red 		| red
2019-05-18 20:27:06.271028	| 21527  		| 13 		| 77200  		| 16 		| 232537 		| 4001     	| blue 		| red
2019-05-18 21:01:39.627115	| 18145  		| 9 		| 40504  		| 9 		| 232537 		| 4004     	| blue 		| blue
2019-05-19 15:04:18.192320	| 95007  		| 38 		| 32402  		| 17 		| 226490 		| 4007     	| red 		| blue
2019-05-19 15:30:24.696695	| 16436  		| 11 		| 116091  		| 37 		| 222605 		| 500     	| blue 		| red
2019-05-19 16:01:00.803918	| 21602  		| 16 		| 84778  		| 29 		| 222605 		| 4006     	| blue 		| red
2019-05-19 16:32:36.150689	| 47435  		| 19 		| 94837  		| 21 		| 218219 		| 4007     	| red 		| blue
2019-05-19 17:16:12.153752	| 42490  		| 26 		| 52680  		| 24 		| 214212 		| 4002     	| red 		| blue
2019-05-19 17:58:03.130737	| 110016  		| 30 		| 56219  		| 26 		| 210330 		| 4000     	| red 		| blue
2019-05-19 18:27:55.073715	| 66667  		| 22 		| 90508  		| 22 		| 206450 		| 4002     	| blue 		| red
2019-05-19 19:06:51.259057	| 221923  		| 40 		| 34290  		| 17 		| 206450 		| 4003     	| red 		| blue
2019-05-19 19:47:35.975753	| 111006  		| 38 		| 31691  		| 18 		| 206450 		| 4003     	| red 		| blue
2019-05-19 20:16:28.068865	| 21522  		| 26 		| 52758  		| 23 		| 194562 		| 4006     	| blue 		| blue
2019-05-19 20:51:41.438250	| 52236  		| 37 		| 36841  		| 18 		| 203995 		| 4002     	| blue 		| red
2019-05-19 21:30:30.703501	| 16107  		| 18 		| 62645  		| 32 		| 203995 		| 4007     	| blue 		| red
2019-05-19 21:54:48.757470	| 73498  		| 18 		| 19658  		| 16 		| 203995 		| 4008     	| red 		| red
2019-05-19 22:23:21.690205	| 128369  		| 35 		| 20105  		| 15 		| 203995 		| 4008     	| red 		| blue
2019-05-19 22:34:09.312831	| 23597  		| 13 		| 48769  		| 21 		| 203995 		| 4004     	| blue 		| blue
2019-05-19 23:06:36.419539	| 15519  		| 16 		| 34282  		| 19 		| 203995 		| 4009     	| blue 		| red
2019-05-19 23:48:39.612583	| 49634  		| 25 		| 23904  		| 13 		| 203995 		| 4005     	| red 		| red
2019-05-20 00:20:19.580897	| 30095  		| 15 		| 53242  		| 24 		| 203995 		| 4002     	| blue 		| red
2019-05-20 00:47:56.133508	| 51240  		| 23 		| 56591  		| 18 		| 203995 		| 4004     	| blue 		| red
2019-05-20 01:28:25.950057	| 147823  		| 26 		| 13405  		| 10 		| 202116 		| 60000     | blue 		| red
2019-05-20 08:40:59.441604	| 28774  		| 21 		| 85987  		| 29 		| 150492 		| 3007     	| blue 		| blue
2019-05-20 09:16:03.719850	| 32115  		| 20 		| 262606  		| 41 		| 150492 		| 3003     	| blue 		| red
2019-05-20 09:33:29.877782	| 42539  		| 34 		| 23976  		| 15 		| 150492 		| 3003     	| red 		| blue
2019-05-20 09:56:24.050883	| 112065  		| 37 		| 40128  		| 19 		| 150492 		| 3007     	| red 		| blue
2019-05-20 10:31:34.685686	| 45456  		| 12 		| 99152  		| 34 		| 146938 		| 3000     	| blue 		| red
2019-05-20 10:56:11.638775	| 13171  		| 9 		| 56081  		| 29 		| 146938 		| 3007     	| blue 		| red
2019-05-20 11:33:31.218028	| 84306  		| 28 		| 22766  		| 15 		| 146938 		| 3009     	| red 		| red
2019-05-20 12:06:28.928500	| 30256  		| 19 		| 57892  		| 24 		| 146938 		| 3003     	| blue 		| red
2019-05-20 12:43:35.994516	| 87629  		| 22 		| 31302  		| 14 		| 146938 		| 3008     	| red 		| red
2019-05-20 13:09:57.750182	| 26796  		| 17 		| 27884  		| 28 		| 152859 		| 3006     	| red 		| red
2019-05-20 13:39:55.306514	| 24714  		| 21 		| 21184  		| 22 		| 155534 		| 3008     	| blue 		| blue
2019-05-20 14:13:01.187783	| 10924  		| 12 		| 89182  		| 34 		| 155534 		| 3005     	| blue 		| red
2019-05-20 15:00:15.596218	| 35534  		| 25 		| 161367  		| 39 		| 155534 		| 3005     	| blue 		| red
2019-05-20 15:42:48.508506	| 255475  		| 53 		| 32006  		| 16 		| 151618 		| 3009     	| red 		| blue
2019-05-20 16:12:58.896145	| 74648  		| 37 		| 78626  		| 34 		| 148729 		| 3000     	| blue 		| red
2019-05-20 16:51:37.328391	| 163291  		| 39 		| 56677  		| 21 		| 148729 		| 3009     	| red 		| blue
2019-05-20 17:07:48.339258	| 67503  		| 33 		| 132186  		| 28 		| 148729 		| 3002     	| blue 		| blue
2019-05-20 17:34:38.259469	| 84007  		| 26 		| 86644  		| 38 		| 148729 		| 3002     	| blue 		| 
2019-05-20 17:56:29.840019	| 47600  		| 23 		| 186562  		| 41 		| 148729 		| 3000     	| blue 		| 
2019-05-20 18:19:57.895867	| 147781  		| 41 		| 119806  		| 35 		| 148729 		| 3007     	| blue 		| 
2019-05-20 18:40:37.897677	| 57466  		| 28 		| 249270  		| 45 		| 145025 		| 3009     	| blue 		| 
2019-05-20 19:02:56.905576	| 61811  		| 21 		| 444343  		| 60 		| 142138 		| 3000     	| red 		| 
2019-05-20 19:35:26.193028	| 46955  		| 27 		| 283340  		| 53 		| 139138 		| 3001     	| blue 		| 
2019-05-20 20:01:29.739223	| 34906  		| 24 		| 117180  		| 32 		| 136257 		| 3008     	| blue 		| 
2019-05-20 20:36:03.457668	| 4939562  		| 32 		| 39867  		| 20 		| 136257 		| 3004     	| red 		| 
2019-05-20 20:42:18.747482	| 50020  		| 33 		| 77487  		| 31 		| 136257 		| 3001     	| red 		| 
2019-05-20 21:54:15.835385	| 40430  		| 19 		| 36847  		| 20 		| 140675 		| 3008     	| red 		| 
2019-05-20 22:33:28.228328	| 61608  		| 23 		| 41029  		| 16 		| 143766 		| 3006     	| red 		| 
2019-05-20 23:27:07.004527	| 31129  		| 12 		| 71033  		| 26 		| 143766 		| 3008     	| blue 		| 
2019-05-20 23:44:53.886537	| 45644  		| 22 		| 28340  		| 16 		| 143766 		| 3003     	| red 		| 
2019-05-21 00:20:56.602495	| 199891  		| 38 		| 7976  		| 10 		| 143766 		| 3006     	| red 		| 
2019-05-21 00:40:52.528416	| 192355  		| 33 		| 153835  		| 10 		| 143766 		| 3008     	| blue 		| 
2019-05-21 01:35:12.758873	| 12103  		| 7 		| 67877  		| 33 		| 143766 		| 3007     	| blue 		| 
2019-05-21 01:54:41.645269	| 30186  		| 16 		| 51036  		| 21 		| 143766 		| 3007     	| red 		| 
2019-05-21 02:19:48.775972	| 12503  		| 10 		| 92667  		| 33 		| 125520 		| 3002     	| blue 		| 
2019-05-21 02:44:59.279836	| 27942  		| 14 		| 69828  		| 21 		| 125520 		| 3002     	| blue 		| 
2019-05-21 03:02:25.896071	| 14136  		| 11 		| 76225  		| 22 		| 119636 		| 3003     	| blue 		| 
2019-05-21 03:25:30.459509	| 59778  		| 15 		| 24219  		| 12 		| 116633 		| 3008     	| red 		| 
2019-05-21 03:58:07.584780	| 75899  		| 18 		| 21809  		| 13 		| 113745 		| 3008     	| red 		| 
2019-05-21 04:30:41.231487	| 68606  		| 22 		| 63754  		| 17 		| 113745 		| 3009     	| blue 		| 
2019-05-21 05:08:36.616192	| 23329  		| 11 		| 78142  		| 25 		| 113745 		| 3000     	| blue 		| 
2019-05-21 05:25:26.954993	| 82712  		| 35 		| 19390  		| 12 		| 121949 		| 3007     	| red 		| 
2019-05-21 05:56:01.088987	| 37988  		| 18 		| 38619  		| 23 		| 119062 		| 3003     	| blue 		| 
2019-05-21 06:39:56.153605	| 51600  		| 29 		| 20720  		| 13 		| 122431 		| 3004     	| red 		| 
2019-05-21 07:13:11.957125	| 12881  		| 13 		| 184581  		| 29 		| 119549 		| 3007     	| blue 		| 
2019-05-21 07:40:28.166233	| 22618  		| 11 		| 59332  		| 34 		| 116542 		| 3006     	| blue 		| 
2019-05-21 08:09:13.003779	| 32752  		| 19 		| 54384  		| 25 		| 113656 		| 3004     	| blue 		| 
2019-05-21 08:48:22.354325	| 1015626  		| 46 		| 6876  		| 12 		| 110772 		| 2188     	| red 		| 
2019-05-21 09:23:24.194933	| 65726  		| 24 		| 15311  		| 11 		| 110772 		| 3001     	| red 		| 
2019-05-21 09:50:50.291156	| 81206  		| 25 		| 79755  		| 37 		| 105703 		| 3005     	| blue 		| 
2019-05-21 10:44:41.226779	| 107360  		| 38 		| 214029  		| 39 		| 102698 		| 3000     	| blue 		| 
2019-05-21 11:14:58.628793	| 720624  		| 47 		| 95246  		| 21 		| 108636 		| 3006     	| red 		| 
2019-05-21 11:44:05.883306	| 461807  		| 49 		| 90541  		| 14 		| 127795 		| 3000     	| red 		| 
2019-05-21 12:19:57.849791	| 38161  		| 22 		| 77129  		| 39 		| 124915 		| 3009     	| blue 		| 
2019-05-21 12:58:30.780829	| 69541  		| 30 		| 54145  		| 34 		| 122026 		| 3008     	| red 		| 
2019-05-21 13:42:22.462152	| 52492  		| 26 		| 59009  		| 23 		| 119018 		| 3003     	| red 		| 
2019-05-21 14:19:14.389140	| 46171  		| 26 		| 144065  		| 35 		| 116137 		| 3009     	| blue 		| 
2019-05-21 14:52:33.911460	| 19658  		| 13 		| 510581  		| 39 		| 113248 		| 3005     	| blue 		| 
2019-05-21 15:43:13.099278	| 162746  		| 26 		| 34101  		| 18 		| 184784 		| 3007     	| red 		| 
2019-05-21 16:23:40.362497	| 48346  		| 27 		| 73317  		| 36 		| 184784 		| 3004     	| blue 		| 
2019-05-21 17:10:53.015442	| 57840  		| 32 		| 161680  		| 40 		| 184784 		| 3008     	| blue 		| 
2019-05-21 17:41:16.101211	| 243523  		| 42 		| 33624  		| 21 		| 184784 		| 3005     	| red 		| 
